C,Story,Emotion,Val
0.0013125980085644468,Anxiety,Anxiety,0.32564927404736843
0.0013125980085644468,Anxiety,Despair,0.22120838990778915
0.0013125980085644468,Anxiety,Irritation,0.30283700840017913
0.0013125980085644468,Anxiety,Rage,0.15030532764466348
0.0013125980085644468,Despair,Anxiety,0.32564927404736843
0.0013125980085644468,Despair,Despair,0.22120838990778915
0.0013125980085644468,Despair,Irritation,0.30283700840017913
0.0013125980085644468,Despair,Rage,0.15030532764466348
0.0013125980085644468,Irritation,Anxiety,0.32564927404736843
0.0013125980085644468,Irritation,Despair,0.22120838990778915
0.0013125980085644468,Irritation,Irritation,0.30283700840017913
0.0013125980085644468,Irritation,Rage,0.15030532764466348
0.0013125980085644468,Rage,Anxiety,0.32564927404736843
0.0013125980085644468,Rage,Despair,0.22120838990778915
0.0013125980085644468,Rage,Irritation,0.30283700840017913
0.0013125980085644468,Rage,Rage,0.15030532764466348
0.0014149535959413289,Anxiety,Anxiety,0.32747015681544783
0.0014149535959413289,Anxiety,Despair,0.23353047928303722
0.0014149535959413289,Anxiety,Irritation,0.29435216992565194
0.0014149535959413289,Anxiety,Rage,0.14464719397586315
0.0014149535959413289,Despair,Anxiety,0.32747015681544783
0.0014149535959413289,Despair,Despair,0.23353047928303722
0.0014149535959413289,Despair,Irritation,0.29435216992565194
0.0014149535959413289,Despair,Rage,0.14464719397586315
0.0014149535959413289,Irritation,Anxiety,0.32747015681544783
0.0014149535959413289,Irritation,Despair,0.23353047928303722
0.0014149535959413289,Irritation,Irritation,0.29435216992565194
0.0014149535959413289,Irritation,Rage,0.14464719397586315
0.0014149535959413289,Rage,Anxiety,0.32747015681544783
0.0014149535959413289,Rage,Despair,0.23353047928303722
0.0014149535959413289,Rage,Irritation,0.29435216992565194
0.0014149535959413289,Rage,Rage,0.14464719397586315
0.001277503112291142,Anxiety,Anxiety,0.28998417149957006
0.001277503112291142,Anxiety,Despair,0.22758110719713712
0.001277503112291142,Anxiety,Irritation,0.2827468498302134
0.001277503112291142,Anxiety,Rage,0.19968787147307926
0.001277503112291142,Despair,Anxiety,0.28998417149957006
0.001277503112291142,Despair,Despair,0.22758110719713712
0.001277503112291142,Despair,Irritation,0.2827468498302134
0.001277503112291142,Despair,Rage,0.19968787147307926
0.001277503112291142,Irritation,Anxiety,0.28998417149957006
0.001277503112291142,Irritation,Despair,0.22758110719713712
0.001277503112291142,Irritation,Irritation,0.2827468498302134
0.001277503112291142,Irritation,Rage,0.19968787147307926
0.001277503112291142,Rage,Anxiety,0.28998417149957006
0.001277503112291142,Rage,Despair,0.22758110719713712
0.001277503112291142,Rage,Irritation,0.2827468498302134
0.001277503112291142,Rage,Rage,0.19968787147307926
0.001218148361149689,Anxiety,Anxiety,0.2848148628419418
0.001218148361149689,Anxiety,Despair,0.2295270794887472
0.001218148361149689,Anxiety,Irritation,0.27902704323197214
0.001218148361149689,Anxiety,Rage,0.2066310144373385
0.001218148361149689,Despair,Anxiety,0.2848148628419418
0.001218148361149689,Despair,Despair,0.2295270794887472
0.001218148361149689,Despair,Irritation,0.27902704323197214
0.001218148361149689,Despair,Rage,0.2066310144373385
0.001218148361149689,Irritation,Anxiety,0.2848148628419418
0.001218148361149689,Irritation,Despair,0.2295270794887472
0.001218148361149689,Irritation,Irritation,0.27902704323197214
0.001218148361149689,Irritation,Rage,0.2066310144373385
0.001218148361149689,Rage,Anxiety,0.2848148628419418
0.001218148361149689,Rage,Despair,0.2295270794887472
0.001218148361149689,Rage,Irritation,0.27902704323197214
0.001218148361149689,Rage,Rage,0.2066310144373385
0.0013083825685828304,Anxiety,Anxiety,0.27794530823961855
0.0013083825685828304,Anxiety,Despair,0.20427188092522156
0.0013083825685828304,Anxiety,Irritation,0.2879833412888898
0.0013083825685828304,Anxiety,Rage,0.22979946954627023
0.0013083825685828304,Despair,Anxiety,0.27794530823961855
0.0013083825685828304,Despair,Despair,0.20427188092522156
0.0013083825685828304,Despair,Irritation,0.2879833412888898
0.0013083825685828304,Despair,Rage,0.22979946954627023
0.0013083825685828304,Irritation,Anxiety,0.27794530823961855
0.0013083825685828304,Irritation,Despair,0.20427188092522156
0.0013083825685828304,Irritation,Irritation,0.2879833412888898
0.0013083825685828304,Irritation,Rage,0.22979946954627023
0.0013083825685828304,Rage,Anxiety,0.27794530823961855
0.0013083825685828304,Rage,Despair,0.20427188092522156
0.0013083825685828304,Rage,Irritation,0.2879833412888898
0.0013083825685828304,Rage,Rage,0.22979946954627023
0.0013348922002458395,Anxiety,Anxiety,0.2974655599024294
0.0013348922002458395,Anxiety,Despair,0.22351088107819034
0.0013348922002458395,Anxiety,Irritation,0.2900141339121179
0.0013348922002458395,Anxiety,Rage,0.1890094251072625
0.0013348922002458395,Despair,Anxiety,0.2974655599024294
0.0013348922002458395,Despair,Despair,0.22351088107819034
0.0013348922002458395,Despair,Irritation,0.2900141339121179
0.0013348922002458395,Despair,Rage,0.1890094251072625
0.0013348922002458395,Irritation,Anxiety,0.2974655599024294
0.0013348922002458395,Irritation,Despair,0.22351088107819034
0.0013348922002458395,Irritation,Irritation,0.2900141339121179
0.0013348922002458395,Irritation,Rage,0.1890094251072625
0.0013348922002458395,Rage,Anxiety,0.2974655599024294
0.0013348922002458395,Rage,Despair,0.22351088107819034
0.0013348922002458395,Rage,Irritation,0.2900141339121179
0.0013348922002458395,Rage,Rage,0.1890094251072625
0.0013407693862967742,Anxiety,Anxiety,0.3200184233346672
0.0013407693862967742,Anxiety,Despair,0.22511631168313756
0.0013407693862967742,Anxiety,Irritation,0.298289171500913
0.0013407693862967742,Anxiety,Rage,0.15657609348128182
0.0013407693862967742,Despair,Anxiety,0.3200184233346672
