step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
57,S1,G,frwd,10,2.4929575752659234,0.6666666666666667,1.0,1.0,0.0,"{""frwd"": 8.3193}"
58,G,G,frwd,10,4.669817898558934,0.0,1.0,1.0,0.0,"{""frwd"": 8.3193}"
59,S,S1,,-1,4.669817898558934,0.0,0.0,0.0,0.0,"{""frwd"": 6.591128236695817}"
60,S1,P,frwd,-5,3.0059211352970583,0.375,1.0,1.0,0.0,"{""frwd"": -17.373749637899998}"
61,P,E,frwd,-10,-8.168250873241744,0.0,1.0,0.0,0.0,"{""frwd"": -9.717524751000001}"
62,E,E,frwd,-10,-0.4116067914000013,0.0,0.4116067914000013,0.2941966042999994,0.0,"{""frwd"": -9.717524751000001}"
63,S,S1,,-1,-0.4116067914000013,0.0,0.0,0.0,0.0,"{""frwd"": -1.5771226365459272}"
64,S1,G,frwd,10,-0.10128294106733012,0.6470588235294117,0.10128294106733012,0.4493585294663349,0.0,"{""frwd"": 8.82351}"
65,G,G,frwd,10,5.855484490963778,0.0,1.0,1.0,0.0,"{""frwd"": 8.82351}"
66,S,S1,,-1,5.855484490963778,0.0,0.0,0.0,0.0,"{""frwd"": 4.2783618544178506}"
67,S1,P,frwd,-5,1.510082753813089,0.38888888888888884,1.0,1.0,0.0,"{""frwd"": -17.7853564293}"
68,P,E,frwd,-10,-7.585554792236355,0.0,1.0,0.0,0.0,"{""frwd"": -9.8022673257}"
69,E,E,frwd,-10,-0.3110052491490009,0.0,0.3110052491490009,0.3444973754254995,0.0,"{""frwd"": -9.8022673257}"
70,S,S1,,-1,-0.3110052491490009,0.0,0.0,0.0,0.0,"{""frwd"": -3.3071929378185043}"
71,S1,P,frwd,-5,-0.9910418662346535,0.368421052631579,0.9910418662346535,0.004479066882673244,0.0,"{""frwd"": -18.096361678449}"
72,P,E,frwd,-10,-5.393859771835678,0.0,1.0,0.0,0.0,"{""frwd"": -9.861587127990001}"
73,E,E,frwd,-10,-0.2337200210226008,0.0,0.2337200210226008,0.3831399894886996,0.0,"{""frwd"": -9.861587127990001}"
74,S,S1,,-1,-0.2337200210226008,0.0,0.0,0.0,0.0,"{""frwd"": -8.701052709654181}"
75,S1,P,frwd,-5,-2.1500714447598903,0.35,1.0,0.0,0.0,"{""frwd"": -18.330081699471602}"
76,P,E,frwd,-10,-3.838806245961078,0.0,1.0,0.0,0.0,"{""frwd"": -9.903110989593001}"
77,E,E,frwd,-10,-0.17481545734862927,0.0,0.17481545734862927,0.4125922713256854,0.0,"{""frwd"": -9.903110989593001}"
78,S,S1,,-1,-0.17481545734862927,0.0,0.0,0.0,0.0,"{""frwd"": -12.539858955615259}"
79,S1,P,frwd,-5,-2.5415276977414143,0.33333333333333337,1.0,0.0,0.0,"{""frwd"": -18.50489715682023}"
80,P,E,frwd,-10,-2.734364545656885,0.0,1.0,0.0,0.0,"{""frwd"": -9.9321776927151}"
