step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
58,S,S1,,-1.0,7.527258216381792,0.0,0.0,0.0,0.0,"{""frwd"": 0.37755649510914857}"
59,S1,P,frwd,-5.0,0.7736213644111631,0.0,0.0,0.0,0.0,"{""frwd"": -16.832434824}"
60,P,E,frwd,-10.0,-6.158024351012744,0.0,0.0,0.0,0.0,"{""frwd"": -9.59646393}"
61,E,E,frwd,-10.0,-0.5413148138999997,0.0,0.0,0.0,0.0,"{""frwd"": -9.59646393}"
62,S,S1,,-1.0,-0.5413148138999997,0.0,0.0,0.0,0.0,"{""frwd"": -5.780467855903596}"
63,S1,P,frwd,-5.0,-1.1211316196856267,0.0,0.0,0.0,0.0,"{""frwd"": -17.373749637899998}"
64,P,E,frwd,-10.0,-4.45677204546192,0.0,0.0,0.0,0.0,"{""frwd"": -9.717524751000001}"
65,E,E,frwd,-10.0,-0.4116067914000013,0.0,0.0,0.0,0.0,"{""frwd"": -9.717524751000001}"
66,S,S1,,-1.0,-0.4116067914000013,0.0,0.0,0.0,0.0,"{""frwd"": -10.237239901365516}"
67,S1,P,frwd,-5.0,-1.9881205860546574,0.0,0.0,0.0,0.0,"{""frwd"": -17.7853564293}"
68,P,E,frwd,-10.0,-3.230874265501345,0.0,0.0,0.0,0.0,"{""frwd"": -9.8022673257}"
69,E,E,frwd,-10.0,-0.3110052491490009,0.0,0.0,0.0,0.0,"{""frwd"": -9.8022673257}"
70,S,S1,,-1.0,-0.3110052491490009,0.0,0.0,0.0,0.0,"{""frwd"": -13.468114166866862}"
71,S1,P,frwd,-5.0,-2.2640204619236233,0.0,0.0,0.0,0.0,"{""frwd"": -18.096361678449}"
72,P,E,frwd,-10.0,-2.3455834031211715,0.0,0.0,0.0,0.0,"{""frwd"": -9.861587127990001}"
73,E,E,frwd,-10.0,-0.2337200210226008,0.0,0.0,0.0,0.0,"{""frwd"": -9.861587127990001}"
74,S,S1,,-1.0,-0.2337200210226008,0.0,0.0,0.0,0.0,"{""frwd"": -15.813697569988033}"
75,S1,P,frwd,-5.0,-2.218121842189252,0.0,0.0,0.0,0.0,"{""frwd"": -18.330081699471602}"
76,P,E,frwd,-10.0,-1.7050127878609227,0.0,0.0,0.0,0.0,"{""frwd"": -9.903110989593001}"
77,E,E,frwd,-10.0,-0.17481545734862927,0.0,0.0,0.0,0.0,"{""frwd"": -9.903110989593001}"
78,S,S1,,-1.0,-0.17481545734862927,0.0,0.0,0.0,0.0,"{""frwd"": -17.518710357848956}"
79,S1,P,frwd,-5.0,-2.0130387422549263,0.0,0.0,0.0,0.0,"{""frwd"": -18.50489715682023}"
80,P,E,frwd,-10.0,-1.2407091249867754,0.0,0.0,0.0,0.0,"{""frwd"": -9.9321776927151}"
81,E,E,frwd,-10.0,-0.13021882998700782,0.0,0.0,0.0,0.0,"{""frwd"": -9.9321776927151}"
82,S,S1,,-1.0,-0.13021882998700782,0.0,0.0,0.0,0.0,"{""frwd"": -18.75941948283573}"
83,S1,P,frwd,-5.0,-1.7441185833248782,0.0,0.0,0.0,0.0,"{""frwd"": -18.63511598680724}"
84,P,E,frwd,-10.0,-0.9036554715872351,0.0,0.0,0.0,0.0,"{""frwd"": -9.95252438490057}"
85,E,E,frwd,-10.0,-0.09664678788098265,0.0,0.0,0.0,0.0,"{""frwd"": -9.95252438490057}"
86,S,S1,,-1.0,-0.09664678788098265,0.0,0.0,0.0,0.0,"{""frwd"": -19.663074954422967}"
87,S1,P,frwd,-5.0,-1.4648699856559677,0.0,0.0,0.0,0.0,"{""frwd"": -18.73176277468822}"
88,P,E,frwd,-10.0,-0.6586534628389294,0.0,0.0,0.0,0.0,"{""frwd"": -9.9667670694304}"
89,E,E,frwd,-10.0,-0.07149827633974226,0.0,0.0,0.0,0.0,"{""frwd"": -9.9667670694304}"
90,S,S1,,-1.0,-0.07149827633974226,0.0,0.0,0.0,0.0,"{""frwd"": -20.321728417261898}"
91,S1,P,frwd,-5.0,-1.2032454249256888,0.0,0.0,0.0,0.0,"{""frwd"": -18.803261051027963}"
92,P,E,frwd,-10.0,-0.4803619585989807,0.0,0.0,0.0,0.0,"{""frwd"": -9.97673694860128}"
93,E,E,frwd,-10.0,-0.052740660813956806,0.0,0.0,0.0,0.0,"{""frwd"": -9.97673694860128}"
94,S,S1,,-1.0,-0.052740660813956806,0.0,0.0,0.0,0.0,"{""frwd"": -20.802090375860878}"
95,S1,P,frwd,-5.0,-0.9719695262697072,0.0,0.0,0.0,0.0,"{""frwd"": -18.85600171184192}"
96,P,E,frwd,-10.0,-0.35049334943905525,0.0,0.0,0.0,0.0,"{""frwd"": -9.983715864020896}"
97,E,E,frwd,-10.0,-0.03880276973306635,0.0,0.0,0.0,0.0,"{""frwd"": -9.983715864020896}"
98,S,S1,,-1.0,-0.03880276973306635,0.0,0.0,0.0,0.0,"{""frwd"": -21.152583725299934}"
99,S1,P,frwd,-5.0,-0.7750118727373401,0.0,0.0,0.0,0.0,"{""frwd"": -18.894804481574987}"
100,P,E,frwd,-10.0,-0.25582209243526605,0.0,0.0,0.0,0.0,"{""frwd"": -9.988601104814627}"
101,E,E,frwd,-10.0,-0.028480953827453345,0.0,0.0,0.0,0.0,"{""frwd"": -9.988601104814627}"
102,S,S1,,-1.0,-0.028480953827453345,0.0,0.0,0.0,0.0,"{""frwd"": -21.4084058177352}"
103,S1,P,frwd,-5.0,-0.6115802758736596,0.0,0.0,0.0,0.0,"{""frwd"": -18.92328543540244}"
104,P,E,frwd,-10.0,-0.18676532223809872,0.0,0.0,0.0,0.0,"{""frwd"": -9.992020773370239}"
105,E,E,frwd,-10.0,-0.020859978189232107,0.0,0.0,0.0,0.0,"{""frwd"": -9.992020773370239}"
106,S,S1,,-1.0,-0.020859978189232107,0.0,0.0,0.0,0.0,"{""frwd"": -21.5951711399733}"
107,S1,P,frwd,-5.0,-0.47853283011584896,0.0,0.0,0.0,0.0,"{""frwd"": -18.944145413591674}"
108,P,E,frwd,-10.0,-0.13636791967776177,0.0,0.0,0.0,0.0,"{""frwd"": -9.994414541359168}"
109,E,E,frwd,-10.0,-0.015248302089473142,0.0,0.0,0.0,0.0,"{""frwd"": -9.994414541359168}"
110,S,S1,,-1.0,-0.015248302089473142,0.0,0.0,0.0,0.0,"{""frwd"": -21.731539059651062}"
111,S1,P,frwd,-5.0,-0.37179231939409013,0.0,0.0,0.0,0.0,"{""frwd"": -18.959393715681145}"
