step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
56,S1,P,frwd,-5,-1.2378195989687453,0.1428571428571429,1.0,0.0,0.0,"{""frwd"": -18.096361678449}"
57,P,E,frwd,-10,-0.700923510223566,0.0,0.700923510223566,0.149538244888217,0.0,"{""frwd"": -9.861587127990001}"
58,E,E,frwd,-10,-0.2337200210226008,0.0,0.2337200210226008,0.3831399894886996,0.0,"{""frwd"": -9.861587127990001}"
59,S,S1,,-1,-0.2337200210226008,0.0,0.0,0.0,0.0,"{""frwd"": -19.651237320082444}"
60,S1,P,frwd,-5,-1.055723067038484,0.1333333333333333,1.0,0.0,0.0,"{""frwd"": -18.330081699471602}"
61,P,E,frwd,-10,-0.5537508628325994,0.0,0.5537508628325994,0.22312456858370028,0.0,"{""frwd"": -9.903110989593001}"
62,E,E,frwd,-10,-0.17481545734862927,0.0,0.17481545734862927,0.4125922713256854,0.0,"{""frwd"": -9.903110989593001}"
63,S,S1,,-1,-0.17481545734862927,0.0,0.0,0.0,0.0,"{""frwd"": -20.204988182915045}"
64,S1,G,frwd,10,-0.8885188798917415,0.875,0.8885188798917415,0.05574056005412925,0.0,"{""frwd"": 5.1}"
65,G,G,frwd,10,10.438496454874514,0.0,1.0,1.0,0.0,"{""frwd"": 5.1}"
66,S,S1,,-1,10.438496454874514,0.0,0.0,0.0,0.0,"{""frwd"": -9.766491728040531}"
67,S1,G,frwd,10,2.1964308268918993,0.8235294117647058,1.0,1.0,0.0,"{""frwd"": 6.569999999999999}"
68,G,G,frwd,10,7.703847518412159,0.0,1.0,1.0,0.0,"{""frwd"": 6.569999999999999}"
69,S,S1,,-1,7.703847518412159,0.0,0.0,0.0,0.0,"{""frwd"": -2.062644209628372}"
70,S1,P,frwd,-5,3.617540408795613,0.2222222222222222,1.0,1.0,0.0,"{""frwd"": -18.50489715682023}"
71,P,E,frwd,-10,-5.877528969452951,0.0,1.0,0.0,0.0,"{""frwd"": -9.9321776927151}"
