step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
57,S1,P,frwd,-5,-1.8831965729496245,0.33333333333333337,1.0,0.0,0.0,"{""frwd"": -17.373749637899998}"
58,P,E,frwd,-10,-3.5933715400391013,0.0,1.0,0.0,0.0,"{""frwd"": -9.717524751000001}"
59,E,E,frwd,-10,-0.4116067914000013,0.0,0.4116067914000013,0.2941966042999994,0.0,"{""frwd"": -9.717524751000001}"
60,S,S1,,-1,-0.4116067914000013,0.0,0.0,0.0,0.0,"{""frwd"": -12.251841080685427}"
61,S1,G,frwd,10,-2.2884479168752945,0.6875,1.0,0.0,0.0,"{""frwd"": 8.3193}"
62,G,G,frwd,10,8.921763324205628,0.0,1.0,1.0,0.0,"{""frwd"": 8.3193}"
63,S,S1,,-1,8.921763324205628,0.0,0.0,0.0,0.0,"{""frwd"": -3.330077756479799}"
64,S1,P,frwd,-5,0.8069625557228132,0.3529411764705882,0.8069625557228132,0.9034812778614065,0.0,"{""frwd"": -17.7853564293}"
65,P,E,frwd,-10,-5.30302290896706,0.0,1.0,0.0,0.0,"{""frwd"": -9.8022673257}"
66,E,E,frwd,-10,-0.3110052491490009,0.0,0.3110052491490009,0.3444973754254995,0.0,"{""frwd"": -9.8022673257}"
67,S,S1,,-1,-0.3110052491490009,0.0,0.0,0.0,0.0,"{""frwd"": -8.63310066544686}"
68,S1,G,frwd,10,-0.8669423964151367,0.6666666666666667,0.8669423964151367,0.06652880179243165,0.0,"{""frwd"": 8.82351}"
69,G,G,frwd,10,7.972277899634058,0.0,1.0,1.0,0.0,"{""frwd"": 8.82351}"
70,S,S1,,-1,7.972277899634058,0.0,0.0,0.0,0.0,"{""frwd"": -0.6608227658128012}"
71,S1,P,frwd,-5,1.5456553554105998,0.368421052631579,1.0,1.0,0.0,"{""frwd"": -18.096361678449}"
72,P,E,frwd,-10,-6.187770823437389,0.0,1.0,0.0,0.0,"{""frwd"": -9.861587127990001}"
73,E,E,frwd,-10,-0.2337200210226008,0.0,0.2337200210226008,0.3831399894886996,0.0,"{""frwd"": -9.861587127990001}"
74,S,S1,,-1,-0.2337200210226008,0.0,0.0,0.0,0.0,"{""frwd"": -6.84859358925019}"
75,S1,P,frwd,-5,-0.5887393735406751,0.35,0.5887393735406751,0.20563031322966246,0.0,"{""frwd"": -18.330081699471602}"
76,P,E,frwd,-10,-4.394543982082276,0.0,1.0,0.0,0.0,"{""frwd"": -9.903110989593001}"
77,E,E,frwd,-10,-0.17481545734862927,0.0,0.17481545734862927,0.4125922713256854,0.0,"{""frwd"": -9.903110989593001}"
78,S,S1,,-1,-0.17481545734862927,0.0,0.0,0.0,0.0,"{""frwd"": -11.243137571332465}"
79,S1,P,frwd,-5,-1.598644436640687,0.33333333333333337,1.0,0.0,0.0,"{""frwd"": -18.50489715682023}"
80,P,E,frwd,-10,-3.1233809609417227,0.0,1.0,0.0,0.0,"{""frwd"": -9.9321776927151}"
81,E,E,frwd,-10,-0.13021882998700782,0.0,0.13021882998700782,0.4348905850064961,0.0,"{""frwd"": -9.9321776927151}"
82,S,S1,,-1,-0.13021882998700782,0.0,0.0,0.0,0.0,"{""frwd"": -14.366518532274188}"
83,S1,P,frwd,-5,-1.9623639651027458,0.31818181818181823,1.0,0.0,0.0,"{""frwd"": -18.63511598680724}"
84,P,E,frwd,-10,-2.2215257567556983,0.0,1.0,0.0,0.0,"{""frwd"": -9.95252438490057}"
85,E,E,frwd,-10,-0.09664678788098265,0.0,0.09664678788098265,0.45167660605950866,0.0,"{""frwd"": -9.95252438490057}"
86,S,S1,,-1,-0.09664678788098265,0.0,0.0,0.0,0.0,"{""frwd"": -16.588044289029888}"
87,S1,P,frwd,-5,-1.9734667298959612,0.30434782608695654,1.0,0.0,0.0,"{""frwd"": -18.73176277468822}"
88,P,E,frwd,-10,-1.581162662456853,0.0,1.0,0.0,0.0,"{""frwd"": -9.9667670694304}"
89,E,E,frwd,-10,-0.07149827633974226,0.0,0.07149827633974226,0.46425086183012887,0.0,"{""frwd"": -9.9667670694304}"
90,S,S1,,-1,-0.07149827633974226,0.0,0.0,0.0,0.0,"{""frwd"": -18.169206951486743}"
91,S1,P,frwd,-5,-1.8083406297905233,0.29166666666666663,1.0,0.0,0.0,"{""frwd"": -18.803261051027963}"
92,P,E,frwd,-10,-1.1261183983315273,0.0,1.0,0.0,0.0,"{""frwd"": -9.97673694860128}"
93,E,E,frwd,-10,-0.052740660813956806,0.0,0.052740660813956806,0.4736296695930216,0.0,"{""frwd"": -9.97673694860128}"
94,S,S1,,-1,-0.052740660813956806,0.0,0.0,0.0,0.0,"{""frwd"": -19.29532534981827}"
95,S1,P,frwd,-5,-1.5698904084028789,0.28,1.0,0.0,0.0,"{""frwd"": -18.85600171184192}"
96,P,E,frwd,-10,-0.8025228572518376,0.0,0.8025228572518376,0.09873857137408121,0.0,"{""frwd"": -9.983715864020896}"
97,E,E,frwd,-10,-0.03880276973306635,0.0,0.03880276973306635,0.4805986151334668,0.0,"{""frwd"": -9.983715864020896}"
98,S,S1,,-1,-0.03880276973306635,0.0,0.0,0.0,0.0,"{""frwd"": -20.097848207070108}"
99,S1,G,frwd,10,-1.3156044573400112,0.7307692307692308,1.0,0.0,0.0,"{""frwd"": 9.176457000000001}"
100,G,G,frwd,10,11.506997852121032,0.0,1.0,1.0,0.0,"{""frwd"": 9.176457000000001}"
101,S,S1,,-1,11.506997852121032,0.0,0.0,0.0,0.0,"{""frwd"": -8.590850354949076}"
102,S1,P,frwd,-5,2.18596629993467,0.2962962962962963,1.0,1.0,0.0,"{""frwd"": -18.894804481574987}"
103,P,E,frwd,-10,-4.024342103540524,0.0,1.0,0.0,0.0,"{""frwd"": -9.988601104814627}"
104,E,E,frwd,-10,-0.028480953827453345,0.0,0.028480953827453345,0.48575952308627335,0.0,"{""frwd"": -9.988601104814627}"
105,S,S1,,-1,-0.028480953827453345,0.0,0.0,0.0,0.0,"{""frwd"": -12.615192458489599}"
106,S1,P,frwd,-5,0.4436040419983282,0.2857142857142857,0.4436040419983282,0.7218020209991641,0.0,"{""frwd"": -18.92328543540244}"
107,P,E,frwd,-10,-2.8247293300117793,0.0,1.0,0.0,0.0,"{""frwd"": -9.992020773370239}"
108,E,E,frwd,-10,-0.020859978189232107,0.0,0.020859978189232107,0.48957001090538393,0.0,"{""frwd"": -9.992020773370239}"
109,S,S1,,-1,-0.020859978189232107,0.0,0.0,0.0,0.0,"{""frwd"": -15.439921788501378}"
110,S1,G,frwd,10,-0.45215408970435056,0.7241379310344828,0.45215408970435056,0.2739229551478247,0.0,"{""frwd"": 9.4235199}"
111,G,G,frwd,10,10.176326909550413,0.0,1.0,1.0,0.0,"{""frwd"": 9.4235199}"
112,S,S1,,-1,10.176326909550413,0.0,0.0,0.0,0.0,"{""frwd"": -5.263594878950965}"
113,S1,P,frwd,-5,2.431100402785566,0.30000000000000004,1.0,1.0,0.0,"{""frwd"": -18.944145413591674}"
114,P,E,frwd,-10,-5.035840797984462,0.0,1.0,0.0,0.0,"{""frwd"": -9.994414541359168}"
115,E,E,frwd,-10,-0.015248302089473142,0.0,0.015248302089473142,0.49237584895526343,0.0,"{""frwd"": -9.994414541359168}"
116,S,S1,,-1,-0.015248302089473142,0.0,0.0,0.0,0.0,"{""frwd"": -10.299435676935428}"
117,S1,G,frwd,10,0.3420932664940917,0.7096774193548387,0.3420932664940917,0.6710466332470458,0.0,"{""frwd"": 9.59646393}"
118,G,G,frwd,10,8.680875964180627,0.0,1.0,1.0,0.0,"{""frwd"": 9.59646393}"
119,S,S1,,-1,8.680875964180627,0.0,0.0,0.0,0.0,"{""frwd"": -1.6185597127548004}"
120,S1,P,frwd,-5,2.583301796874633,0.3125,1.0,1.0,0.0,"{""frwd"": -18.959393715681145}"
121,P,E,frwd,-10,-6.1334683894074695,0.0,1.0,0.0,0.0,"{""frwd"": -9.996090178951418}"
122,E,E,frwd,-10,-0.011126233612539593,0.0,0.011126233612539593,0.4944368831937302,0.0,"{""frwd"": -9.996090178951418}"
123,S,S1,,-1,-0.011126233612539593,0.0,0.0,0.0,0.0,"{""frwd"": -7.75202810216227}"
124,S1,P,frwd,-5,0.15227479267222702,0.303030303030303,0.15227479267222702,0.5761373963361135,0.0,"{""frwd"": -18.970519949293685}"
125,P,E,frwd,-10,-4.296431955660614,0.0,1.0,0.0,0.0,"{""frwd"": -9.997263125265992}"
126,E,E,frwd,-10,-0.008105059033711726,0.0,0.008105059033711726,0.49594747048314414,0.0,"{""frwd"": -9.997263125265992}"
127,S,S1,,-1,-0.008105059033711726,0.0,0.0,0.0,0.0,"{""frwd"": -12.048460057822883}"
128,S1,G,frwd,10,-1.0534442731578064,0.7058823529411764,1.0,0.0,0.0,"{""frwd"": 9.717524751000001}"
